# gunzip -c exp/mono/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Thu Oct 26 19:43:09 SAST 2017
#
At utterance begin, sil accounts for 83.1% of phone occurrences, with duration (median, mean, 95-percentile) is (17,19.3,41) frames.
At utterance begin, nonsilence accounts for 16.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.0,14) frames.
At utterance begin, s_B accounts for 4.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.9,15) frames.
At utterance begin, ih_B accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.9,8) frames.
At utterance begin, f_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,9.2,11) frames.
At utterance begin, k_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.8,4) frames.
At utterance begin, r_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (3,6.2,11) frames.
At utterance begin, w_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.8,6) frames.
At utterance begin, d_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (3,6.3,6) frames.
At utterance begin, n_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.3,4) frames.
At utterance end, sil accounts for 96.9% of phone occurrences, with duration (median, mean, 95-percentile) is (54,52.1,70) frames.
At utterance end, nonsilence accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (12,22.0,88) frames.
At utterance end, er_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,12.0,15) frames.
Overall, nonsilence accounts for 87.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.3,16) frames.
Overall, sil accounts for 12.4% of phone occurrences, with duration (median, mean, 95-percentile) is (36,36.0,68) frames.
Overall, k_I accounts for 4.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.7,11) frames.
Overall, s_B accounts for 3.9% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.0,15) frames.
Overall, eh_I accounts for 3.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.2,10) frames.
Overall, r_I accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.5,9) frames.
Overall, l_I accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.9,8) frames.
Overall, ih_I accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.3,8) frames.
Overall, ae_I accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.8,15) frames.
Overall, ow_E accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.4,22) frames.
Overall, aa_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (9,8.5,12) frames.
Overall, t_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (9,8.7,12) frames.
Overall, s_I accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.8,11) frames.
Overall, ay_I accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (12,11.4,17) frames.
Overall, t_E accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.3,19) frames.
Overall, ah_E accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.3,14) frames.
Overall, n_E accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.9,17) frames.
Overall, ah_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.8,6) frames.
Overall, p_E accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.4,24) frames.
Overall, iy_I accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.0,12) frames.
Overall, er_E accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,9.3,19) frames.
Overall, s_E accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.3,21) frames.
Overall, ey_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (14,13.9,17) frames.
Overall, n_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.1,8) frames.
Overall, m_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.4,14) frames.
Overall, p_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,6.7,9) frames.
Overall, r_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.9,12) frames.
Overall, ow_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.2,8) frames.
Overall, f_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.3,11) frames.
Overall, w_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.1,8) frames.
